Hospital,Period,Robot,Operations,Structured margin report,"Positive margin, pT2","Positive margin, all stages",pT3 or higher,Nerve sparing
SalveMedica,2021–2023,Versius,105,100%,12/60 (20%),37/103 (36%),43/105 (41%),83/105 (79%)
SalveMedica,2021–2023,"da Vinci, cases 1–19",19,100%,6/14 (43%),10/19 (53%),5/19 (26%),12/19 (63%)
SalveMedica,2024,Versius,19,100%,2/7 (29%),4/17 (24%),10/19 (53%),13/19 (68%)
SalveMedica,2024,da Vinci restart,80,100%,17/45 (38%),34/78 (44%),32/79 (41%),67/80 (84%)
SalveMedica,Jan–Jun 2025,Versius,4,100%,1/1 (100%),3/4 (75%),3/4 (75%),2/4 (50%)
SalveMedica,Jan–Jun 2025,da Vinci restart,34,100%,7/18 (39%),12/31 (39%),15/33 (45%),24/34 (71%)
SalveMedica,Jul 2025–Feb 2026,da Vinci restart,63,100%,6/31 (19%),15/58 (26%),29/63 (46%),47/63 (75%)
Bełchatów,2021–2023,Versius,129,19%,8/74 (11%),21/125 (17%),51/128 (40%),90/129 (70%)
Bełchatów,2024,Versius,80,100%,12/41 (29%),27/79 (34%),39/80 (49%),52/80 (65%)
Bełchatów,2024,da Vinci restart,25,100%,6/16 (38%),9/25 (36%),9/25 (36%),19/25 (76%)
Bełchatów,Jan–Jun 2025,da Vinci restart,116,100%,21/80 (26%),32/112 (29%),34/116 (29%),91/116 (78%)
Bełchatów,Jul 2025–Feb 2026,da Vinci restart,64,100%,12/41 (29%),25/63 (40%),22/64 (34%),52/64 (81%)
